"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","TAVG"
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-01-31",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-01",,,,,"0.01","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-02",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-03",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-04",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-05",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-06",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-07",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-08",,,,,"0.02","0.2",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-09",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-10",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-11",,,,,"0.08","0.1",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-12",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-13",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-14",,,,,"0.01","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-15",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-16",,,,,"0.16","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-17",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-18",,,,,"0.03","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-19",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-20",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-21",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-22",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-23",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-24",,,,,"0.58","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-25",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-26",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-27",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-28",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-02-29",,,,,"0.44","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-01",,,,,"0.06","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-02",,,,,"0.25","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-03",,,,,"0.11","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-04",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-05",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-06",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-07",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-08",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-09",,,,,"0.01","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-10",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-11",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-12",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-13",,,,,"0.03","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-14",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-15",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-16",,,,,"0.02","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-17",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-18",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-19",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-20",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-21",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-22",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-23",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-24",,,,,"0.08","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-25",,,,,"0.06","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-26",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-27",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-28",,,,,"0.02","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-29",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-30",,,,,"0.08","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-03-31",,,,,"0.33","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-01",,,,,"0.32","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-02",,,,,"0.05","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-03",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-04",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-05",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-06",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-07",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-08",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-09",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-10",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-11",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-12",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-13",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-14",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-15",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-16",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-17",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-18",,,,,"0.01","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-19",,,,,"0.01","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-20",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-21",,,,,"0.26","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-22",,,,,"2.64","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-23",,,,,"0.14","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-24",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-25",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-26",,,,,"0.02","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-27",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-28",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-29",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-04-30",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-01",,,,,"0.40","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-02",,,,,"0.14","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-03",,,,,"0.51","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-04",,,,,"0.04","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-05",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-06",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-07",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-08",,,,,"0.03","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-09",,,,,"0.22","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-10",,,,,"0.15","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-11",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-12",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-13",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-14",,,,,"0.03","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-15",,,,,"0.47","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-16",,,,,"0.15","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-17",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-18",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-19",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-20",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-21",,,,,"1.62","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-22",,,,,"0.15","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-23",,,,,"0.09","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-24",,,,,"0.20","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-25",,,,,"0.01","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-26",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-27",,,,,"0.06","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-28",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-29",,,,,"0.05","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-30",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-05-31",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-01",,,,,"0.17","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-02",,,,,"0.43","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-03",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-04",,,,,"0.56","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-05",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-06",,,,,"0.63","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-07",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-08",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-09",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-10",,,,,"0.06","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-11",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-12",,,,,"1.25","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-13",,,,,"0.28","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-14",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-15",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-16",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-17",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-18",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-19",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-20",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-21",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-22",,,,,"0.37","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-23",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-24",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-25",,,,,"1.16","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-26",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-27",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-28",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-29",,,,,"0.11","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-06-30",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-01",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-02",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-03",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-04",,,,,"0.05","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-05",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-06",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-07",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-08",,,,,"0.01","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-09",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-10",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-11",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-12",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-13",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-14",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-15",,,,,"0.18","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-16",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-17",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-18",,,,,"0.57","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-19",,,,,"0.03","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-20",,,,,"0.63","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-21",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-22",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-23",,,,,"0.05","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-24",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-25",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-26",,,,,"0.73","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-27",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-28",,,,,"0.02","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-29",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-30",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-07-31",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-01",,,,,"0.38","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-02",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-03",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-04",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-05",,,,,"0.17","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-06",,,,,"0.04","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-07",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-08",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-09",,,,,"0.59","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-10",,,,,"0.43","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-11",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-12",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-13",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-14",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-15",,,,,"0.17","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-16",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-17",,,,,"0.07","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-18",,,,,"0.17","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-19",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-20",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-21",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-22",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-23",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-24",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-25",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-26",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-27",,,,,"0.48","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-28",,,,,"0.06","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-29",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-30",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-08-31",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-01",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-02",,,,,"0.01","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-03",,,,,"0.08","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-04",,,,,"0.94","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-05",,,,,"0.22","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-06",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-07",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-08",,,,,"0.23","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-09",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-10",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-11",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-12",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-13",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-14",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-15",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-16",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-17",,,,,"0.00","0.0",
"USW00014734","NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US","2012-09-18",,,,,"0.81","0.0",
